Time[ms],Realtime Tick,Goal Position,Present Position
8933,8718,2843,2844
8973,8758,2843,2844
9013,8798,2843,2844
9053,8838,2843,2844
9092,8877,2843,2844
9133,8918,2843,2844
9173,8958,2843,2844
9212,8997,2843,2844
9252,9037,2843,2844
9293,9078,2843,2844
9333,9118,2843,2844
9373,9158,2843,2844
9413,9198,2843,2844
9453,9238,2843,2844
9493,9278,2843,2844
9533,9318,2843,2844
9573,9358,2843,2844
9612,9397,2843,2844
9653,9438,2843,2844
9693,9478,2843,2844
9733,9518,2843,2844
9773,9558,2843,2844
9813,9598,2843,2844
9853,9638,2843,2844
9893,9678,2843,2844
9933,9718,2843,2844
9973,9758,2843,2844
10013,9798,2843,2844
10053,9838,2843,2844
10093,9878,2843,2844
10133,9918,2843,2844
10193,9978,3016,2872
10233,10018,3016,2945
10273,10058,3016,2988
10313,10098,3016,2997
10353,10138,3016,2997
10393,10178,3016,2999
10433,10218,3016,3000
10473,10258,3016,3000
10513,10298,3016,3000
10554,10339,3016,3000
10594,10379,3016,3000
10633,10418,3016,3000
10674,10459,3016,3000
10713,10498,3016,3000
10754,10539,3016,3001
10793,10578,3016,3001
10834,10619,3016,3000
10874,10659,3016,3001
10914,10699,3016,3000
10954,10739,3016,3001
10994,10779,3016,3001
11034,10819,3016,3001
11073,10858,3016,3001
11113,10898,3016,3001
11153,10938,3016,3001
11194,10979,3016,3001
11234,11019,3016,3001
11274,11059,3016,3001
11313,11098,3016,3001
11353,11138,3016,3001
11393,11178,3016,3001
11434,11219,3016,3001
11474,11259,3016,3001
11514,11299,3016,3001
11553,11338,3016,3001
11593,11378,3016,3001
11633,11418,3016,3001
11673,11458,3016,3001
11713,11498,3016,3001
11753,11538,3016,3001
11793,11578,3016,3001
11833,11618,3016,3002
11873,11658,3016,3003
11913,11698,3016,3003
11953,11738,3016,3003
11993,11778,3016,3003
12033,11818,3016,3003
12073,11858,3016,3003
12113,11898,3016,3003
12153,11938,3016,3004
12193,11978,3016,3004
12232,12017,3016,3005
12272,12057,3016,3006
12313,12098,3016,3007
12353,12138,3016,3008
12393,12178,3016,3009
12433,12218,3016,3009
12474,12259,3016,3009
12514,12299,3016,3009
12553,12338,3016,3009
12593,12378,3016,3009
12633,12418,3016,3009
12673,12458,3016,3009
12713,12498,3016,3009
12753,12538,3016,3009
12793,12578,3016,3009
12832,12617,3016,3009
12873,12658,3016,3009
12912,12697,3016,3009
12953,12738,3016,3009
12993,12778,3016,3009
13033,12818,3016,3009
13073,12858,3016,3009
13113,12898,3016,3009
13152,12937,3016,3009
13192,12977,3016,3009
13232,13017,3016,3009
13273,13058,3016,3009
13313,13098,3016,3009
13353,13138,3016,3009
13393,13178,3016,3009
13433,13218,3016,3009
13473,13258,3016,3009
13512,13297,3016,3009
13553,13338,3016,3009
13592,13377,3016,3010
13633,13418,3016,3012
13672,13457,3016,3014
13712,13497,3016,3017
13753,13538,3016,3017
13793,13578,3016,3017
13833,13618,3016,3017
13873,13658,3016,3017
13913,13698,3016,3017
13953,13738,3016,3017
13993,13778,3016,3017
14033,13818,3016,3017
14073,13858,3016,3017
14113,13898,3016,3017
14153,13938,3016,3017
14193,13978,3016,3017
14233,14018,3016,3017
14273,14058,3016,3017
14312,14097,3016,3017
14353,14138,3016,3017
14393,14178,3016,3017
14432,14217,3016,3017
14473,14258,3016,3017
14513,14298,3016,3017
14553,14338,3016,3017
14593,14378,3016,3017
14633,14418,3016,3017
14673,14458,3016,3017
14713,14498,3016,3017
14753,14538,3016,3017
14793,14578,3016,3017
14832,14617,3016,3017
14873,14658,3016,3017
14913,14698,3016,3017
14953,14738,3016,3017
14993,14778,3016,3017
15033,14818,3016,3017
15073,14858,3016,3017
15113,14898,3016,3017
15153,14938,3016,3017
15193,14978,3016,3017
15233,15018,3016,3017
15273,15058,3016,3017
15313,15098,3016,3017
15353,15138,3016,3017
15392,15177,3016,3017
15433,15218,3016,3017
15473,15258,3016,3017
15513,15298,3016,3017
15553,15338,3016,3017
15593,15378,3016,3017
15633,15418,3016,3017
15673,15458,3016,3017
15713,15498,3016,3017
15753,15538,3016,3017
15793,15578,3016,3017
15833,15618,3016,3017
15873,15658,3016,3017
15913,15698,3016,3017
15953,15738,3016,3017
15993,15778,3016,3017
16033,15818,3016,3017
