Time[ms],Realtime Tick,Goal Position,Present Position
9462,15866,1619,1615
9502,15906,1619,1615
9542,15946,1619,1615
9582,15986,1619,1616
9622,16026,1619,1616
9662,16066,1619,1616
9702,16106,1619,1616
9742,16146,1619,1616
9782,16186,1619,1616
9822,16226,1619,1616
9862,16266,1619,1616
9902,16306,1619,1616
9942,16346,1619,1616
9982,16386,1619,1616
10022,16426,1619,1616
10062,16466,1619,1616
10102,16506,1619,1617
10142,16546,1619,1617
10182,16586,1619,1617
10222,16626,1619,1617
10263,16667,1619,1617
10302,16706,1619,1617
10342,16746,1619,1617
10382,16786,1619,1617
10422,16826,1619,1617
10462,16866,1619,1617
10502,16906,1619,1618
10542,16946,1619,1618
10582,16986,1619,1617
10622,17026,1619,1617
10662,17066,1619,1618
10702,17106,1619,1618
10742,17146,1619,1618
10782,17186,1619,1618
10822,17226,1619,1618
10862,17266,1619,1618
10902,17306,1619,1618
10942,17346,1619,1618
10982,17386,1619,1619
11022,17426,1619,1618
11062,17466,1619,1619
11102,17506,1619,1618
11142,17546,1619,1619
11182,17586,1619,1618
11222,17626,1619,1618
11262,17666,1619,1619
11302,17706,1619,1618
11342,17746,1619,1618
11382,17786,1619,1619
11422,17826,1619,1619
11462,17866,1619,1619
11502,17906,1619,1619
11542,17946,1619,1619
11582,17986,1619,1619
11622,18026,1619,1619
11662,18066,1619,1619
11702,18106,1619,1619
11742,18146,1619,1619
11781,18185,1619,1619
11821,18225,1619,1619
11862,18266,1619,1619
11902,18306,1619,1619
11942,18346,1619,1619
11982,18386,1619,1619
12022,18426,1619,1619
12061,18465,1619,1619
12102,18506,1619,1619
12142,18546,1619,1619
12182,18586,1619,1619
12222,18626,1619,1619
12262,18666,1619,1619
12301,18705,1619,1619
12342,18746,1619,1619
12381,18785,1619,1619
12422,18826,1619,1619
12461,18865,1619,1619
12501,18905,1619,1620
12542,18946,1619,1619
12582,18986,1619,1620
12622,19026,1619,1620
12661,19065,1619,1619
12702,19106,1619,1619
12742,19146,1619,1619
12782,19186,1619,1620
12822,19226,1619,1619
12862,19266,1619,1620
12902,19306,1619,1619
12941,19345,1619,1619
12981,19385,1619,1620
13021,19425,1619,1620
13062,19466,1619,1619
13102,19506,1619,1620
13142,19546,1619,1619
13182,19586,1619,1619
13222,19626,1619,1620
13262,19666,1619,1620
13302,19706,1619,1620
13342,19746,1619,1620
13382,19786,1619,1620
13422,19826,1619,1619
13462,19866,1619,1619
13501,19905,1619,1619
13542,19946,1619,1619
13582,19986,1619,1620
13621,20025,1619,1620
13662,20066,1619,1620
13702,20106,1619,1619
13725,20129,1619,1620
13762,20166,1619,1620
13802,20206,1619,1620
13842,20246,1619,1620
13882,20286,1619,1620
13921,20325,1619,1620
13962,20366,1619,1619
14001,20405,1619,1619
14042,20446,1619,1620
14081,20485,1619,1620
14121,20525,1619,1620
14161,20565,1619,1620
14201,20605,1619,1620
14241,20645,1619,1620
14281,20685,1619,1620
14321,20725,1619,1620
14362,20766,1619,1619
14402,20806,1619,1620
14442,20846,1619,1619
14482,20886,1619,1619
14522,20926,1619,1620
14562,20966,1619,1620
14601,21005,1619,1620
14642,21046,1619,1619
14682,21086,1619,1620
14722,21126,1619,1620
14762,21166,1619,1620
14802,21206,1619,1620
14842,21246,1619,1619
14881,21285,1619,1620
14921,21325,1619,1620
14961,21365,1619,1619
15001,21405,1619,1619
15041,21445,1619,1620
15081,21485,1619,1619
15121,21525,1619,1620
15162,21566,1619,1620
15202,21606,1619,1619
15242,21646,1619,1619
15282,21686,1619,1620
15322,21726,1619,1620
15362,21766,1619,1620
15401,21805,1619,1620
15441,21845,1619,1620
15481,21885,1619,1619
15521,21925,1619,1620
15562,21966,1619,1620
15602,22006,1619,1619
15642,22046,1619,1620
15682,22086,1619,1620
15721,22125,1619,1620
15761,22165,1619,1620
15801,22205,1619,1620
15841,22245,1619,1620
15881,22285,1619,1620
15922,22326,1619,1619
15962,22366,1619,1620
16001,22405,1619,1620
16042,22446,1567,1614
16082,22486,1567,1604
16121,22525,1567,1595
16161,22565,1567,1588
16201,22605,1567,1582
16241,22645,1567,1577
16281,22685,1567,1575
16336,22740,1577,1574
16360,22764,1577,1575
16401,22805,1577,1574
16442,22846,1607,1580
16482,22886,1607,1588
16521,22925,1607,1592
16561,22965,1607,1596
16601,23005,1607,1599
16641,23045,1607,1602
16682,23086,1607,1603
16736,23140,1636,1608
16762,23166,1636,1615
16801,23205,1636,1622
16841,23245,1644,1630
16881,23285,1644,1635
16921,23325,1644,1640
16961,23365,1652,1645
17000,23404,1652,1649
17041,23445,1662,1652
17081,23485,1662,1656
17121,23525,1662,1659
17161,23565,1662,1660
17201,23605,1662,1662
17240,23644,1699,1669
17281,23685,1699,1682
17321,23725,1699,1690
17360,23764,1699,1697
17400,23804,1699,1701
17441,23845,1699,1703
17481,23885,1699,1704
17536,23940,1710,1705
17561,23965,1710,1707
17601,24005,1710,1709
17641,24045,1710,1710
17681,24085,1710,1711
17721,24125,1710,1712
17744,24148,1710,1713
17781,24185,1710,1714
17821,24225,1710,1714
17861,24265,1710,1714
17901,24305,1710,1713
17956,24360,1716,1715
17980,24384,1716,1715
18021,24425,1716,1717
18060,24464,1716,1718
18101,24505,1716,1718
18140,24544,1716,1719
18180,24584,1716,1718
18220,24624,1716,1718
18260,24664,1716,1718
18301,24705,1716,1718
18340,24744,1716,1718
18380,24784,1716,1718
18420,24824,1716,1718
18460,24864,1716,1718
18500,24904,1716,1718
18540,24944,1716,1719
18580,24984,1716,1718
18620,25024,1716,1718
18660,25064,1716,1718
18701,25105,1716,1718
18741,25145,1716,1718
18781,25185,1716,1718
18821,25225,1716,1718
18860,25264,1716,1718
18901,25305,1716,1718
18940,25344,1716,1718
18980,25384,1716,1718
19020,25424,1716,1718
19060,25464,1716,1718
19100,25504,1716,1718
19140,25544,1716,1718
19180,25584,1716,1718
19220,25624,1716,1718
19260,25664,1716,1718
19300,25704,1716,1719
19340,25744,1716,1719
19380,25784,1716,1718
19420,25824,1716,1718
19460,25864,1716,1718
19500,25904,1716,1718
19540,25944,1716,1718
19580,25984,1716,1718
19620,26024,1716,1718
19660,26064,1716,1718
19700,26104,1716,1718
19740,26144,1716,1718
19780,26184,1716,1719
19820,26224,1716,1718
19860,26264,1716,1719
19900,26304,1716,1719
19940,26344,1716,1718
19980,26384,1716,1718
20021,26425,1716,1719
20060,26464,1716,1718
20100,26504,1716,1718
20140,26544,1716,1718
20180,26584,1716,1718
20220,26624,1716,1719
20260,26664,1716,1718
20300,26704,1716,1718
20340,26744,1716,1718
20380,26784,1716,1718
20420,26824,1716,1718
20461,26865,1716,1718
20500,26904,1716,1718
20540,26944,1716,1718
20580,26984,1716,1718
20620,27024,1716,1718
20660,27064,1716,1718
20700,27104,1716,1718
20741,27145,1716,1719
20780,27184,1716,1718
20820,27224,1716,1718
20861,27265,1716,1718
20900,27304,1716,1718
20941,27345,1716,1718
20981,27385,1716,1719
21020,27424,1716,1718
21060,27464,1716,1718
21100,27504,1716,1718
21141,27545,1716,1718
21180,27584,1716,1718
21220,27624,1716,1718
21260,27664,1716,1718
21300,27704,1716,1718
21341,27745,1716,1718
21380,27784,1716,1718
21420,27824,1716,1718
21461,27865,1716,1718
21501,27905,1716,1718
21541,27945,1716,1718
21580,27984,1716,1718
21621,28025,1716,1718
21660,28064,1716,1718
21700,28104,1716,1718
21741,28145,1716,1718
21780,28184,1716,1718
21820,28224,1716,1718
21859,28263,1716,1718
21900,28304,1716,1718
21940,28344,1716,1718
21980,28384,1716,1718
22020,28424,1716,1718
22060,28464,1716,1718
22100,28504,1716,1719
22140,28544,1716,1718
22180,28584,1716,1718
22219,28623,1716,1718
22260,28664,1716,1718
22301,28705,1716,1718
22339,28743,1716,1718
22380,28784,1716,1718
22420,28824,1716,1718
22459,28863,1716,1718
22500,28904,1716,1718
22540,28944,1716,1718
22579,28983,1716,1718
22620,29024,1716,1718
22660,29064,1716,1718
22700,29104,1716,1718
22739,29143,1716,1718
22780,29184,1716,1718
22819,29223,1716,1718
22860,29264,1716,1718
22899,29303,1716,1718
22940,29344,1716,1718
22979,29383,1716,1718
23020,29424,1716,1718
23060,29464,1716,1718
23100,29504,1716,1718
23139,29543,1716,1719
23179,29583,1716,1718
23219,29623,1716,1718
23259,29663,1716,1718
23300,29704,1716,1718
23339,29743,1716,1718
23379,29783,1716,1718
23419,29823,1716,1718
23459,29863,1716,1718
23499,29903,1716,1718
23539,29943,1716,1718
23579,29983,1716,1718
23619,30023,1716,1718
23659,30063,1716,1718
23699,30103,1716,1718
23740,30144,1716,1718
23779,30183,1716,1718
23819,30223,1716,1718
23859,30263,1716,1718
23899,30303,1716,1718
23940,30344,1716,1718
23980,30384,1716,1718
24019,30423,1716,1718
24059,30463,1716,1718
24099,30503,1716,1718
24139,30543,1716,1718
24179,30583,1716,1718
24220,30624,1716,1718
24259,30663,1716,1718
24299,30703,1716,1718
24340,30744,1716,1718
24379,30783,1716,1718
24419,30823,1716,1718
24459,30863,1716,1718
24499,30903,1716,1718
24540,30944,1716,1718
24579,30983,1716,1718
24619,31023,1716,1718
24659,31063,1716,1718
24699,31103,1716,1718
24740,31144,1716,1718
24779,31183,1716,1718
24819,31223,1716,1718
24859,31263,1716,1718
24899,31303,1716,1718
24939,31343,1716,1718
24979,31383,1716,1718
25019,31423,1716,1718
25059,31463,1716,1717
25099,31503,1716,1717
25139,31543,1716,1717
25179,31583,1716,1717
25219,31623,1716,1717
25260,31664,1716,1717
25299,31703,1716,1718
25339,31743,1716,1717
25379,31783,1716,1717
25419,31823,1716,1718
25459,31863,1716,1717
25499,31903,1716,1717
25540,31944,1716,1717
25580,31984,1716,1717
25619,32023,1716,1717
25660,32064,1716,1717
25699,32103,1716,1717
25740,32144,1716,1717
25779,32183,1716,1717
25819,32223,1716,1717
25859,32263,1716,1717
25899,32303,1716,1717
25940,32344,1716,1717
25979,32383,1716,1717
26020,32424,1716,1717
26059,32463,1716,1717
26099,32503,1716,1717
26140,32544,1716,1717
26179,32583,1716,1717
26219,32623,1716,1717
26259,32663,1716,1718
26299,32703,1716,1717
26340,32744,1716,1717
26378,15,1716,1717
26418,55,1716,1717
26458,95,1716,1717
26498,135,1716,1717
26538,175,1716,1717
26579,216,1716,1717
26618,255,1716,1716
26658,295,1716,1715
26698,335,1716,1714
26739,376,1716,1714
26778,415,1716,1714
26818,455,1716,1714
26859,496,1716,1714
26898,535,1716,1714
26938,575,1716,1714
26978,615,1716,1714
27018,655,1716,1714
27058,695,1716,1714
27098,735,1716,1714
27138,775,1716,1714
27178,815,1716,1714
27218,855,1716,1714
27258,895,1716,1714
27298,935,1716,1714
27338,975,1716,1714
27378,1015,1716,1714
27418,1055,1716,1714
27458,1095,1716,1714
