time,B2C_reference,B2C_state,C2F_reference,C2F_state,F2T_reference,F2T_state,T2E_reference,T2E_state,wristH_reference,wristH_state,wristV_reference,wristV_state,driving_reference,driving_state,
-57381.2,0,-0.156466,0,0.0705631,0,1.85035,0,-0.535726,0,0.418777,0,0.081301,0,-1.29621,
-57361.2,0,-0.156466,0,0.0705631,0,1.85035,0,-0.535726,0,0.418777,0,0.081301,0,-1.29621,
-57341.2,0,-0.156466,0,0.0705631,0,1.85035,0,-0.535726,0,0.418777,0,0.081301,0,-1.29621,
-57321.2,0,-0.156466,0,0.0705631,0,1.85035,0,-0.535726,0,0.418777,0,0.081301,0,-1.29621,
-57301.2,0,-0.156466,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-57281.3,0,-0.156466,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-57261.2,0,-0.156466,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-57241.2,0,-0.156466,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-57221.2,0,-0.156466,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-57201.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.541862,0,0.418777,0,0.081301,0,-1.29621,
-57181.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.541862,0,0.418777,0,0.081301,0,-1.29621,
-57161.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.541862,0,0.418777,0,0.081301,0,-1.29621,
-57141.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.541862,0,0.418777,0,0.081301,0,-1.29621,
-57121.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.541862,0,0.418777,0,0.081301,0,-1.29621,
-57101.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-57081.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-57061.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-57041.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-57021.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-57001.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56981.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56961.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56941.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56921.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56901.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56881.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56861.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56841.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56821.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56801.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56780.9,0,-0.158,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56761.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56741.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56721.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56701.2,0,-0.159534,0,0.0705631,0,1.85035,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56681.2,0,-0.159534,0,0.0705631,0,1.85035,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56661.2,0,-0.159534,0,0.0705631,0,1.85035,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56641.2,0,-0.159534,0,0.0705631,0,1.85035,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56621.2,0,-0.159534,0,0.0705631,0,1.85035,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56601,0,-0.159534,0,0.0705631,0,1.85035,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56581.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56561.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56541.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56521.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56501.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56481.1,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56461.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56441.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56421.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56401.2,0,-0.159534,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56381.2,0,-0.159534,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56361.2,0,-0.159534,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56341.1,0,-0.159534,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56321.1,0,-0.159534,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56301.1,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56277.4,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56261.1,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56241.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56221.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56201.2,0,-0.159534,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56181.2,0,-0.159534,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56161.1,0,-0.159534,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56141.2,0,-0.159534,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56121.2,0,-0.159534,0,0.0705631,0,1.85188,0,-0.538794,0,0.418777,0,0.081301,0,-1.29621,
-56101.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56081.1,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56061.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56041.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56021.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-56001.2,0,-0.158,0,0.0720971,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-55981.2,0,-0.158,0,0.0720971,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-55961.1,0,-0.158,0,0.0720971,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-55941.2,0,-0.158,0,0.0720971,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-55921.1,0,-0.158,0,0.0720971,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-55901.1,0,-0.158,0,0.0720971,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-55881.2,0,-0.158,0,0.0720971,0,1.85188,0,-0.538794,0,0.418777,0,0.079767,0,-1.29621,
-55861.2,0,-0.158,0,0.0720971,0,1.85188,0,-0.538794,0,0.418777,0,0.079767,0,-1.29621,
-55841.2,0,-0.158,0,0.0720971,0,1.85188,0,-0.538794,0,0.418777,0,0.079767,0,-1.29621,
-55821.2,0,-0.158,0,0.0720971,0,1.85188,0,-0.538794,0,0.418777,0,0.079767,0,-1.29621,
-55801.1,0,-0.158,0,0.0720971,0,1.85188,0,-0.538794,0,0.418777,0,0.079767,0,-1.29621,
-55781.1,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-55761.1,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-55741.1,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-55721.2,0,-0.158,0,0.0705631,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-55701.2,0,-0.158,0,0.0720971,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-55681.2,0,-0.158,0,0.0720971,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-55661.1,0,-0.158,0,0.0720971,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-55641.1,0,-0.158,0,0.0720971,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-55621.2,0,-0.158,0,0.0720971,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-55601.2,0,-0.158,0,0.0720971,0,1.85188,0,-0.538794,0,0.418777,0,0.079767,0,-1.29621,
-55581.1,0,-0.158,0,0.0720971,0,1.85188,0,-0.538794,0,0.418777,0,0.079767,0,-1.29621,
-55561.1,0,-0.158,0,0.0720971,0,1.85188,0,-0.538794,0,0.418777,0,0.079767,0,-1.29621,
-55541.2,0,-0.158,0,0.0720971,0,1.85188,0,-0.538794,0,0.418777,0,0.079767,0,-1.29621,
-55521.2,0,-0.158,0,0.0720971,0,1.85188,0,-0.538794,0,0.418777,0,0.079767,0,-1.29621,
-55501.2,0,-0.158,0,0.0720971,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-55481.2,0,-0.158,0,0.0720971,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-55461.2,0,-0.158,0,0.0720971,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-55441.2,0,-0.158,0,0.0720971,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
-55421.1,0,-0.158,0,0.0720971,0,1.85188,0,-0.540328,0,0.418777,0,0.081301,0,-1.29621,
